Year,State,District,Quarter,House_Type,Interest_Rate,Inflation_Rate,GDP,Unemployment_Rate,Population,House_Overhang,House_Price,House_Supply
2015,Johor,Batu Pahat,1,Cluster House,3.24,1.1,282255,3.1,455.6,45,463063,388
2015,Johor,Batu Pahat,1,Condominium,3.24,1.1,282255,3.1,455.6,0,298500,14
2015,Johor,Batu Pahat,1,Detached House,3.24,1.1,282255,3.1,455.6,53,470000,12541
2015,Johor,Batu Pahat,1,Flat,3.24,1.1,282255,3.1,455.6,0,82000,1034
2015,Johor,Batu Pahat,1,Semi-Detached House,3.24,1.1,282255,3.1,455.6,107,560000,7008
2015,Johor,Batu Pahat,1,Terraced House,3.24,1.1,282255,3.1,455.6,449,262600,34223
2015,Johor,Batu Pahat,1,Town House,3.24,1.1,282255,3.1,455.6,0,80000,0
2015,Johor,Batu Pahat,2,Cluster House,3.23,2.8,288975,3.1,455.6,45,488800,388
2015,Johor,Batu Pahat,2,Condominium,3.23,2.8,288975,3.1,455.6,0,350000,482
2015,Johor,Batu Pahat,2,Detached House,3.23,2.8,288975,3.1,455.6,50,267500,12589
2015,Johor,Batu Pahat,2,Flat,3.23,2.8,288975,3.1,455.6,0,80000,1034
2015,Johor,Batu Pahat,2,Semi-Detached House,3.23,2.8,288975,3.1,455.6,94,492500,7089
2015,Johor,Batu Pahat,2,Terraced House,3.23,2.8,288975,3.1,455.6,440,285000,34586
2015,Johor,Batu Pahat,2,Town House,3.23,2.8,288975,3.1,455.6,0,80000,0
2015,Johor,Batu Pahat,3,Cluster House,3.21,3.83,297965,3.1,455.6,0,498000,388
2015,Johor,Batu Pahat,3,Condominium,3.21,3.83,297965,3.1,455.6,0,238500,482
2015,Johor,Batu Pahat,3,Detached House,3.21,3.83,297965,3.1,455.6,50,285000,12589
2015,Johor,Batu Pahat,3,Flat,3.21,3.83,297965,3.1,455.6,0,,1034
2015,Johor,Batu Pahat,3,Semi-Detached House,3.21,3.83,297965,3.1,455.6,107,495000,7089
2015,Johor,Batu Pahat,3,Terraced House,3.21,3.83,297965,3.1,455.6,455,260000,34686
2015,Johor,Batu Pahat,3,Town House,3.21,3.83,297965,3.1,455.6,0,,0
2015,Johor,Batu Pahat,4,Cluster House,3.16,3.6,307745,3.1,455.6,0,100000,388
2015,Johor,Batu Pahat,4,Condominium,3.16,3.6,307745,3.1,455.6,0,177500,482
2015,Johor,Batu Pahat,4,Detached House,3.16,3.6,307745,3.1,455.6,50,191000,12591
2015,Johor,Batu Pahat,4,Flat,3.16,3.6,307745,3.1,455.6,0,100000,1034
2015,Johor,Batu Pahat,4,Semi-Detached House,3.16,3.6,307745,3.1,455.6,107,580000,7133
2015,Johor,Batu Pahat,4,Terraced House,3.16,3.6,307745,3.1,455.6,455,260000,34870
